px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.80017	19.0396	4.90083	3.76309	0.457205	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.899532
4.59092	18.8684	4.95733	3.79957	0.47624	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.46693
4.4132	18.777	4.88159	3.80047	0.452059	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.476421
4.23143	18.6465	4.83316	3.8118	0.435731	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.0342
4.10826	18.4779	4.77255	3.85468	0.458863	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.49565
3.92444	18.2615	4.90663	3.91644	0.515879	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	6.56206
3.66238	18.1437	4.95344	3.89804	0.468008	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.72776
3.50038	18.0284	4.84839	3.89671	0.435849	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	2.91922
3.27221	17.8124	4.96102	3.92332	0.440319	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.62591
3.09215	17.6088	5.03152	3.96159	0.464845	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	1.92043
2.90705	17.6278	4.81916	3.90314	0.378321	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	3.30545
2.7703	17.3165	4.99614	3.99792	0.470985	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	4.45721
2.59505	17.1084	5.03187	4.02386	0.473365	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.143017
2.4286	16.9909	4.89924	4.00685	0.420619	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	1.88857
2.26455	16.82	4.88677	4.01955	0.411768	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.0272258
2.09142	16.6068	4.89875	4.03529	0.399303	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.69715
1.9455	16.2601	5.0854	4.10967	0.456625	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.25364
1.78563	16.1485	4.93313	4.0858	0.39947	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.92767
1.57026	16.0309	4.89329	4.05523	0.345822	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.40427
1.45007	15.7354	5.03611	4.12112	0.404516	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.02515
1.27733	15.4862	5.11793	4.14219	0.405147	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.782485
1.11697	15.3347	5.03552	4.13107	0.368775	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.27011
0.903368	15.0857	5.15083	4.13482	0.352777	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.47904
0.753074	14.9662	4.99715	4.11362	0.305635	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.42133
0.660769	14.7222	5.01	4.15538	0.333828	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.46003
0.556372	14.4367	5.10942	4.20559	0.373369	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.22985
0.372928	14.2229	5.14247	4.19986	0.347296	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.973468
0.25774	13.9284	5.27803	4.2472	0.387013	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	1.92581
0.255286	13.6613	5.24046	4.31453	0.438374	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	2.86493
0.151348	13.4263	5.25145	4.33507	0.4394	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.684219
-0.0410618	13.2521	5.21378	4.30412	0.383162	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.80133
-0.167614	13.0724	5.1122	4.29533	0.349099	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0.888139
-0.160728	12.8549	5.02205	4.34829	0.38715	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.20262
-0.287241	12.6488	4.95983	4.34094	0.352973	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.02496
-0.407863	12.4004	5.004	4.35	0.343777	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.399271
-0.540167	12.2304	4.92547	4.33527	0.309025	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	2.83016
-0.614499	12.0149	4.8972	4.35315	0.311606	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.104616
